%DH	INJV	Xt	Mt	XMt	NDH
-1.76862	2	0	0.022	0.01916	-2947.69778
-10.95878	10	4.20846E-4	0.02197	0.11534	-3652.92527
-11.33239	10	0.00252	0.02182	0.2122	-3777.46462
-9.98242	10	0.0046	0.02166	0.30972	-3327.47245
-10.27551	10	0.00666	0.02151	0.40792	-3425.16851
-9.46774	10	0.00871	0.02136	0.5068	-3155.91448
-8.78296	10	0.01075	0.02121	0.60634	-2927.6522
-8.38711	10	0.01277	0.02106	0.70655	-2795.70456
-7.48235	10	0.01478	0.02092	0.80744	-2494.1183
-6.60215	10	0.01677	0.02077	0.909	-2200.71547
-5.85022	10	0.01875	0.02062	1.01123	-1950.07237
-5.85545	10	0.02071	0.02048	1.11413	-1951.81565
-4.62386	10	0.02266	0.02034	1.21771	-1541.28605
-5.10901	10	0.02459	0.02019	1.32195	-1703.00226
-4.17067	10	0.02651	0.02005	1.42687	-1390.22209
-3.64472	10	0.02841	0.01991	1.53246	-1214.90792
-3.53427	10	0.0303	0.01977	1.63872	-1178.09067
-3.7881	10	0.03217	0.01963	1.74565	-1262.69877
-2.78968	10	0.03403	0.0195	1.85326	-929.89483
-2.81871	10	0.03588	0.01936	1.96154	-939.57087
-2.49746	10	0.03771	0.01922	2.07049	-832.48784
-2.56611	10	0.03952	0.01909	2.18011	-855.36848
-2.33312	10	0.04132	0.01895	2.2904	-777.7073
-1.81376	10	0.0431	0.01882	2.40136	-604.58689
-2.08314	10	0.04487	0.01869	2.513	-694.38125
-1.96673	10	0.04663	0.01856	2.62531	-655.57508
-2.01023	10	0.04837	0.01842	2.73829	-670.07546
-1.95198	10	0.0501	0.01829	2.85194	-650.66032
-1.58277	10	0.05181	0.01817	2.96626	-527.5914
-1.82141	10	0.0535	0.01804	3.08126	-607.13645
0	0	0.05519	0.01791	0	0	
