%DH	INJV	Xt	Mt	XMt	NDH
0.45968	2	0	0.019	0.02218	766.13039
-4.20546	10	4.20846E-4	0.01897	0.13355	-1401.82038
-4.24904	10	0.00252	0.01884	0.2457	-1416.34827
-4.17381	10	0.0046	0.01871	0.35863	-1391.27162
-4.02989	10	0.00666	0.01858	0.47233	-1343.2956
-3.92263	10	0.00871	0.01845	0.58682	-1307.54273
-3.79641	10	0.01075	0.01832	0.70208	-1265.47112
-3.36264	10	0.01277	0.01819	0.81811	-1120.88004
-3.19718	10	0.01478	0.01806	0.93493	-1065.72727
-2.91471	10	0.01677	0.01794	1.05253	-971.56855
-2.80489	10	0.01875	0.01781	1.1709	-934.96379
-2.46598	10	0.02071	0.01769	1.29005	-821.9928
-2.17673	10	0.02266	0.01756	1.40998	-725.57635
-1.74921	10	0.02459	0.01744	1.53068	-583.07081
-1.7321	10	0.02651	0.01732	1.65217	-577.36518
-1.70952	10	0.02841	0.0172	1.77443	-569.84054
-1.4884	10	0.0303	0.01708	1.89747	-496.13168
-1.57404	10	0.03217	0.01696	2.02128	-524.67904
-1.31196	10	0.03403	0.01684	2.14588	-437.32089
-1.15839	10	0.03588	0.01672	2.27125	-386.13143
-1.23402	10	0.03771	0.0166	2.3974	-411.33974
-1.15766	10	0.03952	0.01648	2.52433	-385.88622
-1.20841	10	0.04132	0.01637	2.65204	-402.80286
-1.17236	10	0.0431	0.01625	2.78053	-390.78579
-1.20433	10	0.04487	0.01614	2.90979	-401.4448
-1.15828	10	0.04663	0.01603	3.03983	-386.0925
-1.14015	10	0.04837	0.01591	3.17065	-380.04983
-1.09011	10	0.0501	0.0158	3.30224	-363.36838
-1.16868	10	0.05181	0.01569	3.43462	-389.56004
-1.27242	10	0.0535	0.01558	3.56777	-424.14147
%0	0	0.05519	0.01547	0	0	
