%DH	INJV	Xt	Mt	XMt	NDH
-1.2767	2	0	0.019	0.02218	-2127.82567
0.05106	10	4.20846E-4	0.01897	0.13355	17.02008
-0.1672	10	0.00252	0.01884	0.2457	-55.73264
-0.2031	10	0.0046	0.01871	0.35863	-67.70118
-0.19384	10	0.00666	0.01858	0.47233	-64.61447
-0.22892	10	0.00871	0.01845	0.58682	-76.3058
-0.22217	10	0.01075	0.01832	0.70208	-74.05752
-0.29865	10	0.01277	0.01819	0.81811	-99.54853
-0.08801	10	0.01478	0.01806	0.93493	-29.33749
-0.14121	10	0.01677	0.01794	1.05253	-47.07019
-0.24739	10	0.01875	0.01781	1.1709	-82.46412
-0.1247	10	0.02071	0.01769	1.29005	-41.56747
-0.24223	10	0.02266	0.01756	1.40998	-80.7445
-0.19892	10	0.02459	0.01744	1.53068	-66.30666
-0.34655	10	0.02651	0.01732	1.65217	-115.51566
-0.3166	10	0.02841	0.0172	1.77443	-105.5343
-0.20777	10	0.0303	0.01708	1.89747	-69.25657
-0.32918	10	0.03217	0.01696	2.02128	-109.72616
-0.38046	10	0.03403	0.01684	2.14588	-126.8204
-0.34222	10	0.03588	0.01672	2.27125	-114.07362
-0.2915	10	0.03771	0.0166	2.3974	-97.1661
-0.3162	10	0.03952	0.01648	2.52433	-105.40001
-0.40907	10	0.04132	0.01637	2.65204	-136.35814
-0.43757	10	0.0431	0.01625	2.78053	-145.85792
-0.38135	10	0.04487	0.01614	2.90979	-127.11671
-0.40332	10	0.04663	0.01603	3.03983	-134.43903
-0.42349	10	0.04837	0.01591	3.17065	-141.16423
-0.22955	10	0.0501	0.0158	3.30224	-76.51769
-0.24621	10	0.05181	0.01569	3.43462	-82.07113
-0.17116	10	0.0535	0.01558	3.56777	-57.05233
%0	0	0.05519	0.01547	0	0	
